Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run1/34-openroad-cts/PE.odb'…
Reading design constraints file at '/nix/store/9hhfv2x4r4x6v55799pa58jc2yni6awy-python3.11-openlane-2.3.10/lib/python3.11/site-packages/openlane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 1
[INFO] Setting input delay to: 1
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO RSZ-0094] Found 32 endpoints with setup violations.
[INFO RSZ-0099] Repairing 32 out of 32 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |   -2.630 |      -36.6 |     32 | _1427_/D
       10 |       0 |       4 |        6 |      0 |     2 |   -2.538 |      -35.9 |     32 | _1426_/D
       20 |       0 |      11 |        9 |      0 |     4 |   -2.176 |      -32.3 |     32 | _1427_/D
       30 |       0 |      14 |       19 |      0 |     7 |   -2.026 |      -31.3 |     32 | _1427_/D
       40 |       0 |      18 |       26 |      0 |    10 |   -1.970 |      -31.4 |     32 | _1426_/D
       50 |       0 |      24 |       28 |      0 |    13 |   -1.950 |      -30.9 |     32 | _1431_/D
       60 |       0 |      32 |       31 |      0 |    14 |   -1.824 |      -29.9 |     32 | _1427_/D
       70 |       0 |      41 |       31 |      0 |    15 |   -1.818 |      -29.9 |     32 | _1427_/D
       80 |       0 |      48 |       37 |      0 |    17 |   -1.804 |      -29.6 |     32 | _1426_/D
       90 |       0 |      53 |       41 |      0 |    20 |   -1.840 |      -29.6 |     32 | _1427_/D
      100 |       0 |      55 |       51 |      0 |    23 |   -1.733 |      -28.9 |     32 | _1427_/D
      110 |       0 |      61 |       63 |      0 |    24 |   -1.627 |      -27.8 |     32 | _1427_/D
      120 |       0 |      65 |       74 |      0 |    25 |   -1.669 |      -27.9 |     32 | _1427_/D
      130 |       0 |      70 |       80 |      0 |    27 |   -1.698 |      -28.2 |     32 | _1427_/D
      140 |       0 |      78 |       82 |      0 |    28 |   -1.740 |      -28.4 |     32 | _1431_/D
      150 |       0 |      83 |       89 |      0 |    30 |   -1.684 |      -28.2 |     32 | _1427_/D
      160 |       0 |      89 |       95 |      0 |    32 |   -1.667 |      -28.1 |     32 | _1426_/D
      165 |       0 |      66 |       81 |      0 |    25 |   -1.556 |      -27.1 |     32 | _1427_/D
      170 |       0 |      67 |       85 |      0 |    26 |   -1.756 |      -27.8 |     32 | _1427_/D
      180 |       0 |      70 |       95 |      0 |    28 |   -1.906 |      -28.4 |     32 | _1427_/D
      190 |       0 |      77 |      101 |      0 |    29 |   -1.844 |      -27.8 |     32 | _1427_/D
      200 |       0 |      82 |      109 |      0 |    30 |   -1.814 |      -28.0 |     32 | _1427_/D
      210 |       0 |      86 |      115 |      1 |    32 |   -1.811 |      -28.4 |     32 | _1427_/D
      216 |       0 |      70 |       98 |      0 |    25 |   -1.556 |      -27.1 |     32 | _1427_/D
      220 |       0 |      73 |       98 |      0 |    25 |   -1.579 |      -27.0 |     32 | _1427_/D
      230 |       0 |      80 |      102 |      0 |    26 |   -1.633 |      -27.2 |     32 | _1427_/D
      240 |       0 |      87 |      108 |      0 |    26 |   -1.714 |      -28.3 |     32 | _1427_/D
      250 |       0 |      95 |      114 |      0 |    26 |   -1.678 |      -27.6 |     32 | _1427_/D
      260 |       0 |     103 |      118 |      0 |    26 |   -1.652 |      -27.3 |     32 | _1427_/D
      268 |       0 |      77 |      109 |      0 |    25 |   -1.556 |      -27.0 |     32 | _1427_/D
      270 |       0 |      78 |      109 |      0 |    25 |   -1.567 |      -26.9 |     32 | _1427_/D
      280 |       0 |      85 |      115 |      0 |    25 |   -1.612 |      -27.1 |     32 | _1427_/D
      290 |       0 |      90 |      124 |      0 |    26 |   -1.714 |      -28.1 |     32 | _1427_/D
      300 |       0 |      98 |      129 |      0 |    26 |   -1.664 |      -27.6 |     32 | _1427_/D
      310 |       0 |     103 |      135 |      0 |    28 |   -1.822 |      -27.8 |     32 | _1427_/D
      319 |       0 |      84 |      123 |      0 |    25 |   -1.556 |      -27.0 |     32 | _1427_/D
      320 |       0 |      84 |      123 |      0 |    25 |   -1.556 |      -27.0 |     32 | _1427_/D
      330 |       0 |      91 |      129 |      0 |    25 |   -1.612 |      -26.9 |     32 | _1427_/D
      340 |       0 |      97 |      138 |      0 |    25 |   -1.714 |      -28.2 |     32 | _1427_/D
      350 |       0 |     104 |      144 |      0 |    25 |   -1.883 |      -28.1 |     32 | _1427_/D
      360 |       0 |     109 |      156 |      0 |    25 |   -1.862 |      -28.1 |     32 | _1427_/D
      370 |       0 |     117 |      161 |      0 |    25 |   -1.831 |      -27.8 |     32 | _1427_/D
      370 |       0 |      91 |      140 |      0 |    25 |   -1.556 |      -27.0 |     32 | _1427_/D
      380 |       0 |      97 |      146 |      0 |    25 |   -1.625 |      -27.1 |     32 | _1427_/D
      390 |       0 |     104 |      152 |      0 |    25 |   -1.736 |      -28.4 |     32 | _1427_/D
      400 |       0 |     112 |      158 |      0 |    25 |   -1.669 |      -27.9 |     32 | _1427_/D
      410 |       0 |     119 |      165 |      0 |    25 |   -1.818 |      -27.7 |     32 | _1427_/D
      420 |       0 |     123 |      175 |      0 |    27 |   -1.826 |      -27.6 |     32 | _1427_/D
      421 |       0 |      99 |      155 |      0 |    25 |   -1.556 |      -27.0 |     32 | _1427_/D
      430 |       0 |     103 |      163 |      0 |    25 |   -1.653 |      -27.7 |     32 | _1427_/D
      440 |       0 |     110 |      169 |      0 |    26 |   -1.608 |      -27.6 |     32 | _1431_/D
      450 |       0 |     116 |      171 |      0 |    29 |   -1.595 |      -27.6 |     32 | _1427_/D
      460 |       0 |     122 |      173 |      1 |    31 |   -1.648 |      -27.8 |     32 | _1431_/D
      470 |       0 |     132 |      173 |      1 |    31 |   -1.642 |      -27.5 |     32 | _1431_/D
      471 |       0 |     108 |      163 |      0 |    25 |   -1.556 |      -27.0 |     32 | _1427_/D
      480 |       0 |     111 |      173 |      0 |    25 |   -1.739 |      -27.8 |     32 | _1427_/D
      490 |       0 |     119 |      178 |      0 |    25 |   -1.811 |      -28.8 |     32 | _1427_/D
      500 |       0 |     125 |      187 |      0 |    25 |   -1.791 |      -28.9 |     32 | _1426_/D
      510 |       0 |     132 |      190 |      0 |    27 |   -1.753 |      -28.4 |     32 | _1427_/D
      520 |       0 |     138 |      196 |      1 |    28 |   -1.872 |      -29.0 |     32 | _1427_/D
