Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run4/34-openroad-cts/PE.odb'…
Reading design constraints file at '/nix/store/9hhfv2x4r4x6v55799pa58jc2yni6awy-python3.11-openlane-2.3.10/lib/python3.11/site-packages/openlane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 0
[INFO] Setting input delay to: 0
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO RSZ-0094] Found 34 endpoints with setup violations.
[INFO RSZ-0099] Repairing 34 out of 34 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |   -2.644 |      -58.7 |     34 | _1431_/D
       10 |       0 |       4 |        7 |      0 |     3 |   -2.446 |      -57.2 |     34 | _1431_/D
       20 |       0 |      10 |       14 |      0 |     5 |   -2.194 |      -54.8 |     34 | _1431_/D
       30 |       0 |      17 |       17 |      0 |     7 |   -2.115 |      -51.3 |     34 | _1431_/D
       40 |       0 |      21 |       22 |      0 |    11 |   -2.016 |      -50.1 |     34 | _1427_/D
       50 |       0 |      29 |       27 |      0 |    12 |   -2.015 |      -51.4 |     34 | _1431_/D
       60 |       0 |      37 |       31 |      0 |    13 |   -1.870 |      -49.9 |     34 | _1426_/D
       70 |       0 |      47 |       31 |      0 |    13 |   -1.786 |      -47.2 |     34 | _1426_/D
       80 |       0 |      52 |       37 |      0 |    15 |   -1.760 |      -46.5 |     34 | _1427_/D
       90 |       0 |      56 |       49 |      0 |    16 |   -1.890 |      -52.1 |     34 | _1393_/D
      100 |       0 |      64 |       49 |      0 |    18 |   -1.781 |      -50.2 |     34 | _1379_/D
      110 |       0 |      69 |       59 |      0 |    20 |   -1.752 |      -49.1 |     34 | _1390_/D
      120 |       0 |      76 |       63 |      0 |    21 |   -1.767 |      -47.7 |     34 | _1388_/D
      130 |       0 |      81 |       65 |      0 |    25 |   -1.653 |      -47.3 |     34 | _1427_/D
      140 |       0 |      86 |       67 |      0 |    29 |   -1.660 |      -47.2 |     34 | _1426_/D
      150 |       0 |      92 |       71 |      0 |    31 |   -1.637 |      -47.1 |     34 | _1426_/D
      160 |       0 |      99 |       76 |      0 |    32 |   -1.625 |      -46.1 |     34 | _1427_/D
      170 |       0 |     103 |       82 |      0 |    35 |   -1.684 |      -46.4 |     34 | _1426_/D
      180 |       0 |     106 |       92 |      0 |    37 |   -1.853 |      -47.9 |     34 | _1431_/D
      190 |       0 |     108 |      103 |      0 |    41 |   -1.918 |      -48.4 |     34 | _1426_/D
      200 |       0 |     113 |      108 |      0 |    44 |   -1.875 |      -48.0 |     34 | _1427_/D
      210 |       0 |     119 |      115 |      0 |    45 |   -1.799 |      -47.4 |     34 | _1426_/D
      217 |       0 |     107 |       98 |      0 |    34 |   -1.615 |      -46.1 |     34 | _1427_/D
      220 |       0 |     108 |      100 |      0 |    34 |   -1.608 |      -46.0 |     34 | _1427_/D
      230 |       0 |     110 |      117 |      0 |    35 |   -1.688 |      -46.4 |     34 | _1427_/D
      240 |       0 |     116 |      129 |      0 |    35 |   -1.612 |      -45.8 |     34 | _1427_/D
      250 |       0 |     122 |      134 |      1 |    36 |   -1.597 |      -45.4 |     34 | _1388_/D
      260 |       0 |     129 |      140 |      1 |    37 |   -1.597 |      -45.0 |     34 | _1388_/D
      262 |       0 |     130 |      140 |      1 |    37 |   -1.597 |      -45.0 |     34 | _1388_/D
      270 |       0 |     136 |      142 |      1 |    37 |   -1.597 |      -44.6 |     34 | _1388_/D
      280 |       0 |     144 |      142 |      1 |    39 |   -1.597 |      -44.5 |     34 | _1388_/D
      282 |       0 |     144 |      144 |      1 |    39 |   -1.597 |      -44.5 |     34 | _1388_/D
      290 |       0 |     146 |      152 |      1 |    40 |   -1.597 |      -44.7 |     34 | _1388_/D
      300 |       0 |     153 |      156 |      1 |    41 |   -1.621 |      -45.5 |     34 | _1428_/D
      310 |       0 |     159 |      161 |      1 |    43 |   -1.597 |      -45.2 |     34 | _1388_/D
      310 |       0 |     152 |      157 |      1 |    40 |   -1.597 |      -44.5 |     34 | _1388_/D
      320 |       0 |     159 |      161 |      1 |    40 |   -1.618 |      -45.3 |     34 | _1428_/D
      328 |       0 |     157 |      162 |      1 |    40 |   -1.597 |      -44.7 |     34 | _1388_/D
      330 |       0 |     158 |      162 |      1 |    40 |   -1.597 |      -44.7 |     34 | _1388_/D
      340 |       0 |     162 |      172 |      1 |    41 |   -1.749 |      -46.8 |     34 | _1431_/D
      350 |       0 |     170 |      172 |      1 |    43 |   -1.705 |      -46.4 |     34 | _1431_/D
      360 |       0 |     174 |      183 |      1 |    44 |   -1.698 |      -46.5 |     34 | _1428_/D
      362 |       0 |     161 |      172 |      1 |    40 |   -1.597 |      -44.7 |     34 | _1388_/D
      370 |       0 |     165 |      176 |      1 |    41 |   -1.597 |      -44.8 |     34 | _1388_/D
      378 |       0 |     165 |      176 |      1 |    41 |   -1.597 |      -44.5 |     34 | _1388_/D
      380 |       0 |     166 |      176 |      1 |    41 |   -1.597 |      -44.9 |     34 | _1388_/D
      390 |       0 |     172 |      184 |      1 |    41 |   -1.682 |      -46.9 |     34 | _1428_/D
      400 |       0 |     178 |      190 |      1 |    42 |   -1.847 |      -47.6 |     34 | _1426_/D
      410 |       0 |     183 |      200 |      1 |    42 |   -1.724 |      -46.9 |     34 | _1426_/D
      420 |       0 |     190 |      202 |      1 |    44 |   -1.692 |      -46.8 |     34 | _1426_/D
      423 |       0 |     177 |      189 |      1 |    41 |   -1.597 |      -44.9 |     34 | _1388_/D
      430 |       0 |     180 |      193 |      2 |    42 |   -1.588 |      -44.9 |     34 | _1388_/D
      437 |       0 |     183 |      193 |      3 |    45 |   -1.588 |      -45.3 |     34 | _1388_/D
      440 |       0 |     184 |      193 |      3 |    46 |   -1.588 |      -45.2 |     34 | _1388_/D
      441 |       0 |     185 |      193 |      3 |    46 |   -1.588 |      -45.2 |     34 | _1388_/D
      443 |       0 |     185 |      193 |      3 |    47 |   -1.588 |      -45.2 |     34 | _1388_/D
      448 |       0 |     187 |      193 |      3 |    49 |   -1.588 |      -45.2 |     34 | _1388_/D
      450 |       0 |     187 |      193 |      3 |    50 |   -1.588 |      -45.2 |     34 | _1388_/D
      452 |       0 |     187 |      193 |      3 |    49 |   -1.588 |      -45.2 |     34 | _1388_/D
      460 |       0 |     192 |      197 |      3 |    49 |   -1.615 |      -45.9 |     34 | _1426_/D
